cpf,nome,data_nascimento,email,telefone
56927381473,Cauã da Mota,1970-10-31,joao-pedroda-rosa@freitas.org,+55 41 3435 2408
24078915388,André Gomes,1981-04-20,lmendes@gmail.com,+55 61 7116-7190
29401638713,Isis Porto,1979-06-27,klima@bol.com.br,+55 (081) 9133 4123
28170349613,Arthur Dias,1968-12-18,rcardoso@hotmail.com,+55 71 9361-8324
21089456794,Olivia Jesus,1996-12-22,clara87@uol.com.br,+55 21 9065 9401
30478192622,Diego Pinto,1992-07-22,ribeirosamuel@uol.com.br,(071) 5125 6746
80792546130,Agatha Viana,1980-10-18,da-motaelisa@yahoo.com.br,0900-770-3482
47806912576,Marcos Vinicius Alves,1986-12-10,das-nevesenzo@uol.com.br,+55 71 2748 4677
37291450616,Heloísa Santos,1967-07-17,mirella49@da.br,61 7558-8675
39618025721,Sra. Joana da Costa,1983-01-25,claramelo@pires.br,+55 (021) 2621 7459
61597438219,Alícia Campos,1965-05-03,rafaelacarvalho@uol.com.br,+55 41 1724 0050
45831762017,Davi Cardoso,1990-11-02,ceciliada-conceicao@hotmail.com,(061) 4740-7482
17542389637,João Pedro Rocha,1956-08-13,kmoraes@goncalves.com,61 4090 9743
95381427050,Ana Luiza Barbosa,1970-05-20,moreiranicole@hotmail.com,+55 31 4562 3285
89461235755,Lucas Gabriel Cardoso,1958-12-09,fmoreira@alves.org,61 1754-9651
37046215871,Letícia Jesus,1993-07-16,cunhabryan@gmail.com,(031) 7113 8267
58649132006,Mariana Oliveira,1968-05-24,leandro77@moreira.br,71 5064-3171
30862145708,Vitor Hugo Vieira,1963-06-16,rafaelda-conceicao@freitas.com,71 4210-2053
95012768302,Ana Sophia Campos,1981-10-08,eduarda91@uol.com.br,21 3908-4700
76850349210,Sr. Bernardo Costela,1968-01-28,ssouza@uol.com.br,21 9611-8367
36589742065,Dr. Ian Fernandes,1974-10-31,fcampos@carvalho.com,31 2809 8851
65978023140,Sr. Murilo Santos,1963-11-02,gdas-neves@moura.com,+55 84 9368-9980
94012586785,Danilo Nunes,1954-02-04,carvalhorafaela@nascimento.br,+55 (031) 5459-9102
20193546752,Emanuelly da Rosa,2000-09-25,ana-julia14@souza.org,+55 (061) 3690 0343
24890536124,Cauê Nascimento,1985-08-08,danilo60@aragao.br,+55 11 5969 6641
60514328924,Felipe Pinto,1989-06-07,novaespedro-henrique@ig.com.br,(081) 3521 8188
35876140244,Eduardo da Luz,1990-05-09,da-luzsophia@rezende.br,0300 955 2717
74890251685,Alícia Caldeira,1974-06-15,carvalholaura@bol.com.br,21 6798-0793
57203689492,Melissa da Luz,1952-01-09,hpires@moreira.br,81 5905 1518
64859713001,Mirella da Conceição,1973-03-01,mcostela@ig.com.br,+55 21 4865 2816
85026143989,Enzo Gabriel Cunha,1959-11-27,valentina18@mendes.com,0300-622-2927
06578132490,Sra. Daniela Teixeira,1965-08-20,xda-mota@ig.com.br,0500 774 6886
23967081478,Dra. Ana Vitória Gomes,1955-01-25,ana-sophia82@carvalho.net,(041) 5060-6853
61580274994,Daniel Azevedo,1968-11-18,sabrinaribeiro@uol.com.br,0800-010-4328
98602157312,Kaique Ramos,1953-08-20,bteixeira@da.com,0800-539-6218
51036798259,Srta. Isabella Campos,1972-10-28,melogabriel@moraes.br,+55 (051) 7722-1704
30982574150,Arthur da Mota,1968-10-30,melomarcelo@gmail.com,31 6676 5277
58460391701,Evelyn Martins,1956-05-05,maria-alice44@pereira.com,(031) 5705-9640
16547903893,Cauê Campos,1965-06-02,vitor90@bol.com.br,+55 (021) 7557-1928
56972103886,Manuela Nogueira,1987-08-01,sophie47@gomes.com,+55 84 1727 1551
89421563042,Eduardo Cunha,1965-06-21,moreiragabrielly@bol.com.br,31 7829 1146
78693405101,Ana Julia Porto,1981-01-22,stellavieira@ig.com.br,0900 226 8018
24917653819,Fernando da Paz,1992-07-29,leticiajesus@bol.com.br,61 1829-9229
95067842130,Cecília Peixoto,1991-06-04,sviana@rocha.net,71 4710 2767
73541268964,Ana Moura,1984-05-27,lucca71@porto.net,+55 (011) 1046-9632
59361748246,Alexia Carvalho,1976-02-14,leandromoraes@gmail.com,+55 (071) 4797 4801
62458390170,Miguel da Mota,1974-01-11,nogueiraclarice@uol.com.br,81 4991-2165
58961732021,Arthur Cunha,1997-12-02,dsilveira@hotmail.com,0500-825-9526
94586732164,Alexia Moura,1971-11-26,ylima@ribeiro.net,+55 (071) 9728 9623
01397256877,Srta. Júlia Santos,2002-02-05,cunhaelisa@hotmail.com,84 5786-5278
58976230400,Matheus Jesus,1964-08-30,mariane37@yahoo.com.br,(081) 5844-1986
65270981467,Eloah Rocha,1963-12-03,helena42@duarte.com,51 3301 6571
20935647856,Igor Gomes,1993-04-24,diasemilly@da.com,+55 (051) 6724 0049
91523470879,Diogo Correia,1971-11-12,tfernandes@alves.net,+55 (051) 9668-5161
29781065494,Sophia Fogaça,1971-10-16,ferreiramanuela@yahoo.com.br,+55 41 0174-2684
14589763001,Sofia Moura,1977-08-28,sarahfarias@ig.com.br,0300-187-8519
10346957206,Rodrigo da Rocha,1998-02-23,silvaana-livia@gmail.com,(051) 2867-9087
40628153970,Sr. Marcelo Caldeira,1954-01-21,gomesalice@hotmail.com,+55 84 6567 6618
25174369080,Vitor Gabriel Aragão,1969-08-30,yteixeira@hotmail.com,+55 51 7524 3106
90318546701,Vicente Barbosa,1976-09-25,evelynda-rosa@gmail.com,+55 84 8439 5995
34258196746,Matheus da Luz,1991-12-17,wbarros@ig.com.br,41 8566 2462
87361259030,Júlia Peixoto,1987-04-14,qfarias@melo.br,+55 31 8304 6990
13879240604,Vicente Costa,2000-03-08,mariada-rocha@uol.com.br,+55 41 8546-7854
