id_passagem,cpf_cliente,id_voo,data,poltrona,classe,preco
P00001,90217536859,V0375,2025-04-23,21B,Executiva,402.56
P00002,27901438622,V0884,2025-04-27,32E,Executiva,837.27
P00003,69537014800,V0402,2025-05-09,38A,Executiva,616.79
P00004,34280769150,V0633,2025-05-07,12F,Executiva,1126.81
P00005,48531976219,V0087,2025-04-17,44B,Executiva,406.08
P00006,50173298460,V0120,2025-04-18,12C,Econômica,759.74
P00007,06473812571,V0611,2025-04-27,9E,Executiva,680.73
P00008,50174293879,V0651,2025-04-28,35F,Econômica,799.42
P00009,40793568200,V0296,2025-05-05,9B,Executiva,1057.79
P00010,12895743088,V0055,2025-05-05,23A,Executiva,422.88
P00011,87035926186,V0394,2025-05-04,36E,Executiva,668.22
P00012,39261087469,V0426,2025-04-19,46D,Executiva,450.53
P00013,51082973432,V0032,2025-05-03,49B,Executiva,329.43
P00014,71683204913,V0551,2025-04-27,19B,Executiva,809.09
P00015,58641920315,V0785,2025-05-11,32E,Econômica,815.44
P00016,45802917350,V0794,2025-05-06,35C,Econômica,984.0
P00017,49176530299,V0560,2025-04-30,14D,Econômica,962.39
P00018,98710534601,V0770,2025-04-26,16C,Econômica,704.76
P00019,36197054884,V0883,2025-04-13,6D,Econômica,998.07
P00020,18763925419,V0215,2025-05-08,48E,Executiva,1074.94
P00021,59341608775,V0648,2025-04-21,28B,Econômica,1006.36
P00022,84036527983,V0212,2025-05-09,4E,Executiva,779.05
P00023,79341852005,V0552,2025-04-29,11C,Executiva,560.4
P00024,69784201313,V0976,2025-05-07,33F,Econômica,422.03
P00025,67830592195,V0805,2025-04-13,27A,Executiva,1080.34
P00026,89570234105,V0719,2025-04-27,9B,Econômica,940.26
P00027,14359086784,V0254,2025-04-13,49F,Executiva,740.51
P00028,15902846315,V0648,2025-04-15,18F,Executiva,637.66
P00029,76805143993,V0649,2025-04-26,50A,Executiva,764.05
P00030,24630815708,V0712,2025-04-18,24D,Executiva,594.56
P00031,29401638713,V0890,2025-05-03,50F,Econômica,957.84
P00032,32475019832,V0651,2025-04-17,43F,Executiva,1065.1
P00033,42387091523,V0548,2025-04-30,26B,Executiva,1042.36
P00034,52803147904,V0275,2025-04-28,21C,Executiva,792.58
P00035,54368972074,V0580,2025-05-05,32C,Econômica,341.35
P00036,30925486710,V0803,2025-05-08,30A,Econômica,1136.49
P00037,87254139619,V0452,2025-05-10,30A,Executiva,482.09
P00038,23950467106,V0932,2025-04-21,9F,Executiva,443.08
P00039,17236984582,V0898,2025-05-09,18A,Executiva,525.35
P00040,58439672128,V0681,2025-04-15,42B,Econômica,656.71
P00041,50173298460,V0744,2025-04-18,45B,Executiva,889.94
P00042,74698012511,V0098,2025-05-10,1B,Executiva,370.14
P00043,21857306902,V0232,2025-04-29,34F,Executiva,308.36
P00044,09853724600,V0352,2025-05-01,8D,Econômica,729.93
P00045,32147685909,V0393,2025-04-29,6F,Econômica,392.88
P00046,26305189498,V0903,2025-04-16,20B,Executiva,996.11
P00047,17630452934,V0896,2025-05-07,9F,Econômica,361.57
P00048,97162038530,V0009,2025-05-07,40F,Econômica,696.09
P00049,67810495348,V0219,2025-05-03,41F,Econômica,1127.9
P00050,61397820403,V0704,2025-04-15,29B,Econômica,1106.93
P00051,08231597441,V0771,2025-04-17,8E,Executiva,616.38
P00052,21574893041,V0323,2025-04-26,9B,Executiva,880.16
P00053,96538120415,V0567,2025-05-07,39E,Executiva,1001.07
P00054,26079854392,V0028,2025-05-02,43C,Econômica,765.97
P00055,27035491805,V0194,2025-04-13,48D,Executiva,881.55
P00056,17392408631,V0920,2025-04-14,16D,Executiva,401.47
P00057,19263087512,V0654,2025-04-29,39A,Econômica,1188.19
P00058,08769542120,V0325,2025-04-14,9D,Executiva,628.87
P00059,40716529858,V0177,2025-04-12,49D,Econômica,315.02
P00060,14350628924,V0015,2025-05-11,17B,Econômica,1130.32
P00061,02165834970,V0809,2025-04-20,26E,Executiva,865.71
P00062,02568174994,V0786,2025-04-24,27D,Executiva,374.19
P00063,07932581460,V0551,2025-04-25,40B,Executiva,375.24
P00064,04382175607,V0524,2025-05-10,14B,Executiva,651.66
P00065,05249631851,V0782,2025-04-20,42F,Econômica,579.15
P00066,41729653855,V0748,2025-05-07,16A,Econômica,377.59
P00067,21670539407,V0119,2025-05-03,30E,Econômica,578.36
P00068,92058417305,V0674,2025-05-09,48B,Econômica,311.4
P00069,83456079265,V0719,2025-05-05,1B,Executiva,1157.71
P00070,74358920683,V0530,2025-04-28,47C,Econômica,634.68
P00071,13642078508,V0800,2025-05-04,18F,Econômica,994.29
P00072,85026143989,V0344,2025-04-14,28C,Econômica,536.65
P00073,87931456084,V0591,2025-04-23,41A,Executiva,709.68
P00074,57894306274,V0057,2025-04-12,32E,Econômica,630.92
P00075,79852401360,V0792,2025-04-18,7E,Econômica,505.56
P00076,27035491805,V0003,2025-05-10,3A,Econômica,341.38
P00077,96321504815,V0393,2025-04-21,10B,Econômica,797.58
P00078,70654813957,V0732,2025-04-12,48F,Executiva,502.06
P00079,96538120415,V0427,2025-04-17,47C,Executiva,1043.4
P00080,14608279378,V0382,2025-04-16,8E,Econômica,461.41
P00081,17605834993,V0529,2025-04-19,3D,Econômica,1089.29
P00082,03726941525,V0290,2025-04-28,50C,Executiva,377.75
P00083,84012953605,V0009,2025-04-12,24B,Executiva,807.43
P00084,59341678048,V0758,2025-04-15,40B,Executiva,631.45
P00085,93148602560,V0506,2025-05-06,50B,Econômica,435.51
P00086,48536927038,V0420,2025-05-01,2B,Executiva,872.35
P00087,74065132835,V0899,2025-04-13,1C,Econômica,983.04
P00088,71540986276,V0870,2025-05-05,48F,Executiva,393.55
P00089,51439027625,V0244,2025-04-25,27D,Econômica,1175.3
P00090,72369418087,V0729,2025-04-20,18A,Econômica,1129.15
P00091,48731906222,V0866,2025-05-09,34D,Executiva,712.61
P00092,28514360906,V0087,2025-04-13,38A,Econômica,873.49
P00093,86175923464,V0077,2025-05-01,38E,Econômica,691.48
P00094,61304789500,V0134,2025-05-11,16C,Executiva,1065.82
P00095,48120965370,V0821,2025-04-28,26F,Executiva,586.25
P00096,89157340250,V0240,2025-04-19,5B,Econômica,1001.94
P00097,58490273197,V0112,2025-04-20,10A,Econômica,704.61
P00098,12980357405,V0417,2025-04-19,8E,Executiva,1168.17
P00099,06794521334,V0463,2025-04-23,20D,Executiva,1067.23
P00100,43729816004,V0162,2025-04-21,44C,Econômica,493.52
P00101,53864019710,V0336,2025-05-01,10A,Econômica,1171.56
P00102,17548093675,V0526,2025-05-11,4F,Executiva,534.15
P00103,89473612087,V0032,2025-04-22,26D,Econômica,385.25
P00104,68452910711,V0824,2025-04-17,9A,Econômica,355.5
P00105,38104926551,V0228,2025-05-09,9B,Executiva,635.02
P00106,24105396889,V0961,2025-04-12,42A,Executiva,1125.69
P00107,14065789320,V0023,2025-04-30,5B,Executiva,1028.37
P00108,43176908296,V0927,2025-04-20,22A,Econômica,1148.05
P00109,65270981467,V0173,2025-04-14,37D,Executiva,746.51
P00110,54890612351,V0700,2025-04-12,28B,Executiva,493.24
P00111,90217536859,V0282,2025-05-06,18D,Econômica,331.18
P00112,12895743088,V0632,2025-04-21,16F,Executiva,749.0
P00113,73149682509,V0564,2025-04-12,31A,Econômica,551.8
P00114,83456079265,V0430,2025-04-18,13F,Econômica,867.68
P00115,06829753465,V0557,2025-04-24,2D,Executiva,731.72
P00116,74219053832,V0497,2025-04-20,23E,Executiva,649.54
P00117,80327561408,V0027,2025-04-30,21E,Econômica,326.37
P00118,51240368933,V0798,2025-05-02,18A,Executiva,776.49
P00119,08365219433,V0599,2025-04-18,15B,Econômica,523.07
P00120,52483196098,V0273,2025-04-24,35F,Econômica,987.64
P00121,37065821471,V0225,2025-05-09,37D,Executiva,1141.69
